date,org_file_name,weight_prediction_pixel_mean,weight_prediction_weight,bright
20211130153831,FA0002_GW01_H02_0015_20211130153831_farm_image_real_e39a30934028.jpg,14512.5,3273.4,no
20211130152031,FA0002_GW01_H02_0013_20211130152031_farm_image_real_b0577f594a4d.jpg,11150.0,2512.3,no
20211130121636,FA0002_GW01_H01_0002_20211130121636_farm_image_real_68c741e64971.jpg,14487.5,3267.8,no
20211130090031,FA0002_GW01_H02_0013_20211130090031_farm_image_real_0a530ca24396.jpg,9900.0,2229.4,yes
20211130152829,FA0002_GW01_H02_0015_20211130152829_farm_image_real_74c29bfd40cf.jpg,9212.5,2073.7,no
20211130104631,FA0002_GW01_H02_0012_20211130104631_farm_image_real_e68083ec44e6.jpg,9287.5,2090.7,yes
20211130123240,FA0002_GW01_H02_0014_20211130123240_farm_image_real_ea97f0d44996.jpg,10593.75,2386.4,no
20211130095250,FA0002_GW01_H01_0002_20211130095250_farm_image_real_ed2d525544ba.jpg,9737.5,2192.6,yes
20211130153430,FA0002_GW01_H02_0014_20211130153430_farm_image_real_c65bd9424f84.jpg,9381.25,2111.9,no
20211130101435,FA0002_GW01_H02_0012_20211130101435_farm_image_real_000f1fea4604.jpg,8993.75,2024.2,yes
20211130112028,FA0002_GW01_H02_0012_20211130112028_farm_image_real_d501456047b6.jpg,11350.0,2557.6,no
20211130133430,FA0002_GW01_H02_0012_20211130133430_farm_image_real_c51ae4714c1d.jpg,7093.75,1594.2,no
20211130122709,FA0002_GW01_H01_0001_20211130122709_farm_image_real_19269a504424.jpg,11337.5,2554.8,no
20211130121236,FA0002_GW01_H02_0014_20211130121236_farm_image_real_064100834d30.jpg,9287.5,2090.7,no
20211130100429,FA0002_GW01_H02_0012_20211130100429_farm_image_real_570c7bd04078.jpg,9587.5,2158.6,yes
20211130125723,FA0002_GW01_H01_0001_20211130125723_farm_image_real_a948f4f64cc7.jpg,10887.5,2452.9,no
20211130131428,FA0002_GW01_H02_0012_20211130131428_farm_image_real_4ff97d954303.jpg,10337.5,2328.4,yes
20211130102831,FA0002_GW01_H02_0015_20211130102831_farm_image_real_0d5c0c474787.jpg,11225.0,2529.3,yes
20211130101632,FA0002_GW01_H02_0010_20211130101632_farm_image_real_ebf9f0af4b40.jpg,9306.25,2095.0,yes
20211130101831,FA0002_GW01_H02_0015_20211130101831_farm_image_real_ab4c5efc49a9.jpg,11137.5,2509.5,yes
20211130092246,FA0002_GW01_H02_0014_20211130092246_farm_image_real_35c61dd14455.jpg,8425.0,1895.5,yes
20211130121841,FA0002_GW01_H02_0013_20211130121841_farm_image_real_d37480aa4b38.jpg,8531.25,1919.5,no
20211130085851,FA0002_GW01_H02_0015_20211130085851_farm_image_real_e3af031a4889.jpg,10381.25,2338.3,yes
20211130131036,FA0002_GW01_H02_0010_20211130131036_farm_image_real_60781b7b4b78.jpg,9168.75,2063.8,yes
20211130143831,FA0002_GW01_H02_0010_20211130143831_farm_image_real_e4e06ef24b15.jpg,10181.25,2293.0,yes
20211130092030,FA0002_GW01_H02_0012_20211130092030_farm_image_real_bc5db8114fac.jpg,7418.75,1667.7,yes
20211130115701,FA0002_GW01_H01_0001_20211130115701_farm_image_real_4bdb5e424b0b.jpg,10812.5,2435.9,no
20211130075605,FA0002_GW01_H01_0001_20211130075605_farm_image_real_69a723de4f22.jpg,11325.0,2551.9,no
20211130130235,FA0002_GW01_H01_0002_20211130130235_farm_image_real_32cb97964217.jpg,10812.5,2435.9,no
20211130083649,FA0002_GW01_H01_0001_20211130083649_farm_image_real_2f47514c4404.jpg,10537.5,2373.7,yes
20211130115628,FA0002_GW01_H02_0010_20211130115628_farm_image_real_423df6a142ab.jpg,13450.0,3032.9,yes
20211130090026,FA0002_GW01_H02_0012_20211130090026_farm_image_real_c4cefdc9487a.jpg,7556.25,1698.9,yes
20211130144829,FA0002_GW01_H02_0014_20211130144829_farm_image_real_02362be24c1f.jpg,9962.5,2243.5,no
20211130130840,FA0002_GW01_H02_0014_20211130130840_farm_image_real_1a708bb7487e.jpg,10250.0,2308.6,no
20211130145030,FA0002_GW01_H02_0010_20211130145030_farm_image_real_7299d2bb424e.jpg,9756.25,2196.8,yes
20211130135627,FA0002_GW01_H02_0014_20211130135627_farm_image_real_588f43ef4a99.jpg,9575.0,2155.8,no
20211130132227,FA0002_GW01_H02_0010_20211130132227_farm_image_real_e9782daa43ab.jpg,8518.75,1916.7,yes
20211130084823,FA0002_GW01_H02_0014_20211130084823_farm_image_real_c53a1b2948c0.jpg,8050.0,1810.6,yes
20211130082641,FA0002_GW01_H01_0001_20211130082641_farm_image_real_558d1a324c6b.jpg,8925.0,2008.7,yes
20211130094231,FA0002_GW01_H02_0012_20211130094231_farm_image_real_e2d2302b4447.jpg,8943.75,2012.9,yes
20211130135429,FA0002_GW01_H02_0010_20211130135429_farm_image_real_aa38090943ae.jpg,8593.75,1933.7,yes
20211130124238,FA0002_GW01_H02_0013_20211130124238_farm_image_real_174701d845b9.jpg,10850.0,2444.4,no
20211130105033,FA0002_GW01_H02_0015_20211130105033_farm_image_real_7bc60b854c80.jpg,10887.5,2452.9,yes
20211130091036,FA0002_GW01_H02_0013_20211130091036_farm_image_real_df5b76564f1e.jpg,9425.0,2121.8,yes
20211130154836,FA0002_GW01_H02_0015_20211130154836_farm_image_real_4bc74e8d4397.jpg,10018.75,2256.2,no
20211130145831,FA0002_GW01_H02_0014_20211130145831_farm_image_real_6d3b7e3f4a6e.jpg,8187.5,1841.7,no
20211130085934,FA0002_GW01_H02_0014_20211130085934_farm_image_real_00cad9b5498c.jpg,10662.5,2402.0,yes
20211130085848,FA0002_GW01_H02_0010_20211130085848_farm_image_real_cb3e0f5b4f9d.jpg,10156.25,2287.4,yes
20211130110233,FA0002_GW01_H02_0013_20211130110233_farm_image_real_9659748f4d6f.jpg,11087.5,2498.2,yes
20211130110232,FA0002_GW01_H02_0015_20211130110232_farm_image_real_6c8b1ab0443a.jpg,11725.0,2642.5,yes
20211130083716,FA0002_GW01_H02_0014_20211130083716_farm_image_real_c055c0b242b1.jpg,8500.0,1912.5,yes
20211130105033,FA0002_GW01_H02_0014_20211130105033_farm_image_real_1f9cfbaf4344.jpg,10712.5,2413.3,yes
20211130114625,FA0002_GW01_H02_0010_20211130114625_farm_image_real_5cbcf2014ee9.jpg,9118.75,2052.5,yes
20211130082514,FA0002_GW01_H02_0013_20211130082514_farm_image_real_dcd46f5843f3.jpg,9718.75,2188.3,yes
20211130084717,FA0002_GW01_H02_0010_20211130084717_farm_image_real_c40cb2b5437c.jpg,10962.5,2469.9,yes
20211130082515,FA0002_GW01_H02_0015_20211130082515_farm_image_real_6e9b8e844057.jpg,8218.75,1848.8,yes
20211130081432,FA0002_GW01_H02_0015_20211130081432_farm_image_real_3e93041640e2.jpg,15843.75,3574.8,yes
20211130075645,FA0002_GW01_H02_0013_20211130075645_farm_image_real_920a2ae446ee.jpg,8293.75,1865.8,no
20211130141906,FA0002_GW01_H01_0001_20211130141906_farm_image_real_0695c59d44f9.jpg,9093.75,2046.9,no
20211130084844,FA0002_GW01_H02_0013_20211130084844_farm_image_real_15883f9945d9.jpg,8856.25,1993.1,yes
20211130141029,FA0002_GW01_H02_0015_20211130141029_farm_image_real_eae5f0214468.jpg,9806.25,2208.1,no
20211130133239,FA0002_GW01_H02_0014_20211130133239_farm_image_real_2fee1c0e4d14.jpg,11075.0,2495.3,no
20211130092045,FA0002_GW01_H01_0002_20211130092045_farm_image_real_e5f7953e447e.jpg,8006.25,1800.7,yes
20211130103631,FA0002_GW01_H02_0012_20211130103631_farm_image_real_cf234fd9479e.jpg,11212.5,2526.5,yes
20211130075642,FA0002_GW01_H02_0015_20211130075642_farm_image_real_63b69645400b.jpg,11162.5,2515.1,no
20211130093237,FA0002_GW01_H02_0015_20211130093237_farm_image_real_74dadde241f0.jpg,10931.25,2462.8,yes
20211130125030,FA0002_GW01_H02_0010_20211130125030_farm_image_real_491cb5624540.jpg,11212.5,2526.5,yes
20211130151635,FA0002_GW01_H02_0015_20211130151635_farm_image_real_d001edbe4d19.jpg,11137.5,2509.5,no
20211130093049,FA0002_GW01_H01_0002_20211130093049_farm_image_real_c05916f64e0d.jpg,10643.75,2397.7,yes
20211130110229,FA0002_GW01_H02_0010_20211130110229_farm_image_real_dd5a9df14d9e.jpg,10100.0,2274.6,yes
20211130083631,FA0002_GW01_H02_0012_20211130083631_farm_image_real_fb0c57ca43ef.jpg,8981.25,2021.4,yes
20211130094236,FA0002_GW01_H01_0002_20211130094236_farm_image_real_4768ddca4cc1.jpg,11418.75,2573.1,yes
20211130113234,FA0002_GW01_H01_0002_20211130113234_farm_image_real_524127b94100.jpg,10225.0,2302.9,no
20211130102832,FA0002_GW01_H02_0013_20211130102832_farm_image_real_c154f5fc4696.jpg,11856.25,2672.2,yes
20211130114236,FA0002_GW01_H01_0002_20211130114236_farm_image_real_ddeb000b409e.jpg,11562.5,2605.7,no
20211130150439,FA0002_GW01_H02_0015_20211130150439_farm_image_real_171492094e80.jpg,9387.5,2113.4,no
20211130085655,FA0002_GW01_H01_0001_20211130085655_farm_image_real_da308c8a4f5f.jpg,11587.5,2611.3,yes
20211130094057,FA0002_GW01_H02_0010_20211130094057_farm_image_real_ea4e4dce4832.jpg,10987.5,2475.5,yes
20211130091028,FA0002_GW01_H02_0012_20211130091028_farm_image_real_a69df5064abc.jpg,7493.75,1684.7,yes
20211130084847,FA0002_GW01_H02_0015_20211130084847_farm_image_real_136c918b4803.jpg,10600.0,2387.8,yes
20211130090035,FA0002_GW01_H01_0002_20211130090035_farm_image_real_5a9f2a58436e.jpg,8293.75,1865.8,yes
20211130122832,FA0002_GW01_H01_0002_20211130122832_farm_image_real_bd0b1380407a.jpg,11050.0,2489.7,no
20211130105832,FA0002_GW01_H02_0012_20211130105832_farm_image_real_2489c3524182.jpg,10906.25,2457.1,yes
20211130120706,FA0002_GW01_H01_0001_20211130120706_farm_image_real_55ec1bda4dba.jpg,9575.0,2155.8,no
20211130152427,FA0002_GW01_H02_0012_20211130152427_farm_image_real_3c9611514795.jpg,10200.0,2297.3,no
20211130112647,FA0002_GW01_H01_0001_20211130112647_farm_image_real_9b3d76a54a93.jpg,11568.75,2607.1,yes
20211130102626,FA0002_GW01_H02_0012_20211130102626_farm_image_real_b64e2b394596.jpg,10968.75,2471.3,yes
20211130130437,FA0002_GW01_H02_0015_20211130130437_farm_image_real_0252d2164a6a.jpg,9475.0,2133.2,no
20211130095442,FA0002_GW01_H02_0013_20211130095442_farm_image_real_c68e298d4df2.jpg,11725.0,2642.5,yes
20211130120841,FA0002_GW01_H02_0015_20211130120841_farm_image_real_4468d52a43f3.jpg,9143.75,2058.2,no
20211130095428,FA0002_GW01_H02_0012_20211130095428_farm_image_real_fa15bf3241c7.jpg,8631.25,1942.2,yes
20211130154626,FA0002_GW01_H02_0012_20211130154626_farm_image_real_ab155ec04dec.jpg,22287.5,5033.3,no
20211130130725,FA0002_GW01_H01_0001_20211130130725_farm_image_real_88949b2e4bb9.jpg,10450.0,2353.9,no
20211130091037,FA0002_GW01_H02_0015_20211130091037_farm_image_real_9eed80424926.jpg,9700.0,2184.1,yes
20211130081429,FA0002_GW01_H02_0013_20211130081429_farm_image_real_aab7e036433b.jpg,11062.5,2492.5,yes
20211130082449,FA0002_GW01_H02_0012_20211130082449_farm_image_real_3062504d4707.jpg,12862.5,2899.9,yes
20211130132638,FA0002_GW01_H02_0015_20211130132638_farm_image_real_9fcea3124c67.jpg,9675.0,2178.4,no
20211130143910,FA0002_GW01_H01_0001_20211130143910_farm_image_real_8ebc5cb54dd6.jpg,6731.25,1512.1,no
20211130121635,FA0002_GW01_H02_0010_20211130121635_farm_image_real_d70d9399431f.jpg,10393.75,2341.1,yes
20211130094249,FA0002_GW01_H02_0013_20211130094249_farm_image_real_55f5ffcc416d.jpg,12237.5,2758.5,yes
20211130125240,FA0002_GW01_H02_0013_20211130125240_farm_image_real_2bf8a5c34305.jpg,9881.25,2225.1,no
20211130154005,FA0002_GW01_H01_0001_20211130154005_farm_image_real_f0e74829417b.jpg,11668.75,2629.7,no
20211130144831,FA0002_GW01_H02_0012_20211130144831_farm_image_real_0d7c392a45af.jpg,7975.0,1793.6,yes
20211130093227,FA0002_GW01_H02_0012_20211130093227_farm_image_real_1ac9441440dc.jpg,8137.5,1830.4,yes
20211130150920,FA0002_GW01_H01_0001_20211130150920_farm_image_real_5600a61e4519.jpg,10181.25,2293.0,no
