org_file_name,bright,create_time,farm_id,house_id,module_id,weight_prediction_count,weight_prediction_pixel_mean,weight_prediction_weight,weight_prediction_status
FA0002_GW01_H01_0001_20211119145132_farm_image_real_8dc0c6374c21.jpg,no,2021-11-19 14:51:32,FA0002,H01,1,1.0,12040.0,2675.5,success
FA0002_GW01_H01_0001_20211119150205_farm_image_real_a4a0a71e451d.jpg,no,2021-11-19 15:02:05,FA0002,H01,1,2.0,10824.0,2402.1,success
FA0002_GW01_H01_0001_20211119151205_farm_image_real_c70caa844fc6.jpg,no,2021-11-19 15:12:05,FA0002,H01,1,1.0,9437.0,2090.3,success
FA0002_GW01_H01_0001_20211119152208_farm_image_real_7284a5604e3d.jpg,no,2021-11-19 15:22:08,FA0002,H01,1,2.0,9011.0,1994.6,success
FA0002_GW01_H01_0001_20211119153213_farm_image_real_bf9a916440b8.jpg,no,2021-11-19 15:32:13,FA0002,H01,1,4.0,9078.0,2009.6,success
FA0002_GW01_H01_0001_20211119154214_farm_image_real_9213d2ff4192.jpg,no,2021-11-19 15:42:14,FA0002,H01,1,1.0,10030.0,2223.6,success
FA0002_GW01_H01_0001_20211120075608_farm_image_real_7f77c8e2496a.jpg,no,2021-11-20 07:56:08,FA0002,H01,1,4.0,9638.0,2135.5,success
FA0002_GW01_H01_0001_20211120080613_farm_image_real_021e47aa4287.jpg,no,2021-11-20 08:06:13,FA0002,H01,1,3.0,8610.0,1904.4,success
FA0002_GW01_H01_0001_20211120081613_farm_image_real_424c2048454c.jpg,no,2021-11-20 08:16:13,FA0002,H01,1,2.0,9530.0,2111.2,success
FA0002_GW01_H01_0001_20211120084008_farm_image_real_89c1ff43453b.jpg,yes,2021-11-20 08:40:08,FA0002,H01,1,2.0,8012.0,1770.0,success
FA0002_GW01_H01_0001_20211120085304_farm_image_real_388cf2334294.jpg,yes,2021-11-20 08:53:04,FA0002,H01,1,4.0,8201.0,1812.5,success
FA0002_GW01_H01_0001_20211120090334_farm_image_real_5e560aea4f45.jpg,yes,2021-11-20 09:03:34,FA0002,H01,1,5.0,8823.0,1952.3,success
FA0002_GW01_H01_0001_20211120092511_farm_image_real_41723bd64c91.jpg,yes,2021-11-20 09:25:11,FA0002,H01,1,4.0,8874.0,1963.8,success
FA0002_GW01_H01_0001_20211120093523_farm_image_real_744757014479.jpg,yes,2021-11-20 09:35:23,FA0002,H01,1,1.0,8742.0,1934.1,success
FA0002_GW01_H01_0001_20211120094529_farm_image_real_be2dd2b84c25.jpg,yes,2021-11-20 09:45:29,FA0002,H01,1,3.0,7706.0,1701.2,success
FA0002_GW01_H01_0001_20211120095546_farm_image_real_5943fcbf47e6.jpg,yes,2021-11-20 09:55:46,FA0002,H01,1,1.0,8880.0,1965.1,success
FA0002_GW01_H01_0001_20211120100559_farm_image_real_de4501034e1f.jpg,yes,2021-11-20 10:05:59,FA0002,H01,1,3.0,8640.0,1911.1,success
FA0002_GW01_H01_0001_20211120102739_farm_image_real_ac860c254472.jpg,yes,2021-11-20 10:27:39,FA0002,H01,1,1.0,10132.0,2246.6,success
FA0002_GW01_H01_0001_20211120103744_farm_image_real_2096b1cb42ea.jpg,yes,2021-11-20 10:37:44,FA0002,H01,1,2.0,9585.0,2123.6,success
FA0002_GW01_H01_0001_20211120104802_farm_image_real_f2e0b1234cc0.jpg,yes,2021-11-20 10:48:02,FA0002,H01,1,5.0,8931.0,1976.6,success
FA0002_GW01_H01_0001_20211120105818_farm_image_real_0415b6be4a8e.jpg,yes,2021-11-20 10:58:18,FA0002,H01,1,5.0,10252.0,2273.5,success
FA0002_GW01_H01_0001_20211120110921_farm_image_real_c23769e5420d.jpg,yes,2021-11-20 11:09:21,FA0002,H01,1,3.0,10731.0,2381.2,success
FA0002_GW01_H01_0001_20211120111927_farm_image_real_dfea4b5a48b2.jpg,yes,2021-11-20 11:19:27,FA0002,H01,1,3.0,9102.0,2015.0,success
FA0002_GW01_H01_0001_20211120114004_farm_image_real_2e483bfc43fe.jpg,no,2021-11-20 11:40:04,FA0002,H01,1,3.0,8726.0,1930.5,success
FA0002_GW01_H01_0001_20211120115011_farm_image_real_801b4dde4064.jpg,no,2021-11-20 11:50:11,FA0002,H01,1,2.0,9992.0,2215.1,success
FA0002_GW01_H01_0001_20211120120128_farm_image_real_bf4a978a40d9.jpg,no,2021-11-20 12:01:28,FA0002,H01,1,5.0,9056.0,2004.7,success
FA0002_GW01_H01_0001_20211120121130_farm_image_real_7e63237a42bf.jpg,no,2021-11-20 12:11:30,FA0002,H01,1,3.0,8967.0,1984.7,success
FA0002_GW01_H01_0001_20211120122313_farm_image_real_92a52b6f404e.jpg,no,2021-11-20 12:23:13,FA0002,H01,1,3.0,10309.0,2286.3,success
FA0002_GW01_H01_0001_20211120123356_farm_image_real_fc91e9dd45a4.jpg,no,2021-11-20 12:33:56,FA0002,H01,1,1.0,8644.0,1912.0,success
FA0002_GW01_H01_0001_20211120124528_farm_image_real_e2e492da4071.jpg,no,2021-11-20 12:45:28,FA0002,H01,1,3.0,7746.0,1710.2,success
FA0002_GW01_H01_0001_20211120125543_farm_image_real_36f7b5df426f.jpg,no,2021-11-20 12:55:43,FA0002,H01,1,1.0,9990.0,2214.6,success
FA0002_GW01_H01_0001_20211120130655_farm_image_real_f209495149c5.jpg,no,2021-11-20 13:06:55,FA0002,H01,1,2.0,9642.0,2136.4,success
FA0002_GW01_H01_0001_20211120131655_farm_image_real_bedb9f074da5.jpg,no,2021-11-20 13:16:55,FA0002,H01,1,3.0,8953.0,1981.5,success
FA0002_GW01_H01_0001_20211120132655_farm_image_real_758195864c7a.jpg,no,2021-11-20 13:26:55,FA0002,H01,1,5.0,8661.0,1915.9,success
FA0002_GW01_H01_0001_20211120133727_farm_image_real_6cbc44be4967.jpg,no,2021-11-20 13:37:27,FA0002,H01,1,2.0,8702.0,1925.1,success
FA0002_GW01_H01_0001_20211120134735_farm_image_real_d1761626473e.jpg,no,2021-11-20 13:47:35,FA0002,H01,1,4.0,8915.0,1973.0,success
FA0002_GW01_H01_0001_20211120135743_farm_image_real_0a9f17b74b4f.jpg,no,2021-11-20 13:57:43,FA0002,H01,1,2.0,9058.0,2005.1,success
FA0002_GW01_H01_0001_20211120140744_farm_image_real_b236d4324a86.jpg,no,2021-11-20 14:07:44,FA0002,H01,1,2.0,8762.0,1938.6,success
FA0002_GW01_H01_0001_20211120141811_farm_image_real_15cc5a374841.jpg,no,2021-11-20 14:18:11,FA0002,H01,1,1.0,11532.0,2561.3,success
FA0002_GW01_H01_0001_20211120143951_farm_image_real_1335d8a04ebb.jpg,no,2021-11-20 14:39:51,FA0002,H01,1,1.0,9562.0,2118.4,success
FA0002_GW01_H01_0001_20211120145001_farm_image_real_77ba9d0c4bed.jpg,no,2021-11-20 14:50:01,FA0002,H01,1,1.0,8847.0,1957.7,success
FA0002_GW01_H01_0001_20211120150014_farm_image_real_531a1f5544a2.jpg,no,2021-11-20 15:00:14,FA0002,H01,1,2.0,8140.0,1798.7,success
FA0002_GW01_H01_0001_20211120151100_farm_image_real_6a83797c465e.jpg,no,2021-11-20 15:11:00,FA0002,H01,1,2.0,8008.0,1769.1,success
FA0002_GW01_H01_0001_20211120152132_farm_image_real_eff524304f22.jpg,no,2021-11-20 15:21:32,FA0002,H01,1,1.0,9466.0,2096.8,success
FA0002_GW01_H01_0001_20211120154702_farm_image_real_809058454623.jpg,no,2021-11-20 15:47:02,FA0002,H01,1,1.0,9745.0,2159.6,success
FA0002_GW01_H01_0001_20211121080459_farm_image_real_6dd02ada4f04.jpg,no,2021-11-21 08:04:59,FA0002,H01,1,1.0,8408.0,1859.0,success
FA0002_GW01_H01_0001_20211121081501_farm_image_real_5be53147447e.jpg,yes,2021-11-21 08:15:01,FA0002,H01,1,1.0,9094.0,2013.2,success
FA0002_GW01_H01_0001_20211121083501_farm_image_real_5c2f281140b2.jpg,yes,2021-11-21 08:35:01,FA0002,H01,1,2.0,8662.0,1916.1,success
FA0002_GW01_H01_0001_20211121084541_farm_image_real_a548161f4805.jpg,yes,2021-11-21 08:45:41,FA0002,H01,1,2.0,8027.0,1773.3,success
FA0002_GW01_H01_0001_20211121090610_farm_image_real_3ab587ca4a9f.jpg,yes,2021-11-21 09:06:10,FA0002,H01,1,2.0,9607.0,2128.5,success
FA0002_GW01_H01_0001_20211121091610_farm_image_real_a2cb493d4b8e.jpg,yes,2021-11-21 09:16:10,FA0002,H01,1,2.0,7925.0,1750.4,success
FA0002_GW01_H01_0001_20211121092611_farm_image_real_85c3b3fd4996.jpg,yes,2021-11-21 09:26:11,FA0002,H01,1,2.0,8164.0,1804.1,success
FA0002_GW01_H01_0001_20211121093718_farm_image_real_c2fe96704e5c.jpg,yes,2021-11-21 09:37:18,FA0002,H01,1,11.0,9242.0,2046.5,success
