date,image_name,no_distortion_pixel_mean,no_distortion_count,distortion_pixel_mean,distortion_count,total_mean,total_count
20211001131022,FA0002_GW01_H02_0013_20211001131022_farm_image_real_99882559.jpg,5976.0,17,6898.0,9,6295.0,26
20211010130527,FA0002_GW01_H02_0013_20211010130527_farm_image_real_4b6b3f18.jpg,6608.0,14,8042.0,11,7239.0,25
20211009130805,FA0002_GW01_H02_0013_20211009130805_farm_image_real_7aba99fb.jpg,6645.0,14,7534.0,6,6912.0,20
20211008130825,FA0002_GW01_H02_0013_20211008130825_farm_image_real_4807826d.jpg,5224.0,3,,0,5224.0,3
20211007130019,FA0002_GW01_H02_0013_20211007130019_farm_image_real_5a5fde07.jpg,6844.0,18,8271.0,9,7319.0,27
20211006130515,FA0002_GW01_H02_0013_20211006130515_farm_image_real_83f99976.jpg,6631.0,15,7011.0,12,6800.0,27
20211005130739,FA0002_GW01_H02_0013_20211005130739_farm_image_real_b2b35ff9.jpg,5626.0,9,6693.0,3,5893.0,12
20211015130647,FA0002_GW01_H02_0013_20211015130647_farm_image_real_2133d5e3.jpg,5892.0,6,6873.0,1,6032.0,7
20211014130429,FA0002_GW01_H02_0013_20211014130429_farm_image_real_ed09d186.jpg,7126.0,16,7557.0,14,7327.0,30
20211013130401,FA0002_GW01_H02_0013_20211013130401_farm_image_real_8f9c0b01.jpg,6481.0,4,7023.0,5,6782.0,9
20211012130624,FA0002_GW01_H02_0013_20211012130624_farm_image_real_8d25d91d.jpg,7202.0,9,7534.0,10,7377.0,19
20211011130401,FA0002_GW01_H02_0013_20211011130401_farm_image_real_8d8371ca.jpg,6169.0,11,9250.0,6,7257.0,17
20211002130058,FA0002_GW01_H02_0015_20211002130058_farm_image_real_4cc95b18.jpg,6316.0,25,7286.0,14,6664.0,39
20211001130427,FA0002_GW01_H02_0015_20211001130427_farm_image_real_78e5451a.jpg,5876.0,21,6761.0,8,6120.0,29
20211019130839,FA0002_GW01_H02_0013_20211019130839_farm_image_real_007b419a4331.jpg,5325.0,5,,0,5325.0,5
20211018130036,FA0002_GW01_H02_0013_20211018130036_farm_image_real_8cf31647.jpg,6538.0,2,,0,6538.0,2
