수집시간,수집장비ID,축사번호,모듈ID,센서타입,측정값,센서시간
2021-09-17 03:42:27,GW01,H01,1102,nh3,1.122892,20210916184026
2021-09-17 03:42:27,GW01,H01,1102,co2,545,20210916184026
2021-09-17 03:42:31,GW01,H01,2002,humidity,79.10004,20210917034229
2021-09-17 03:45:17,GW01,H01,2000,humidity,82.13107,20210101000000
2021-09-17 03:45:17,GW01,H01,2000,temp,24.16895,20210101000000
2021-09-17 03:44:54,GW01,H02,2003,temp,24.59999,20210917034453
2021-09-17 03:44:54,GW01,H02,2003,humidity,69.51697,20210917034453
2021-09-17 03:48:33,GW01,H01,1100,co2,0,20210101000000
2021-09-17 03:48:33,GW01,H01,1100,nh3,0.016411,20210101000000
2021-09-17 03:48:52,GW01,H02,2001,temp,24.69999,20210101000000
2021-09-17 03:52:31,GW01,H01,2002,humidity,78.75688,20210917035229
2021-09-17 03:52:28,GW01,H01,1102,co2,539,20210916185027
2021-09-17 03:52:31,GW01,H01,2002,temp,24.39656,20210917035229
2021-09-17 03:52:28,GW01,H01,1102,nh3,1.085884,20210916185027
2021-09-17 03:52:52,GW01,H02,2001,humidity,78.14831,20210101000000
2021-09-17 03:55:17,GW01,H01,2000,temp,24.19999,20210101000000
2021-09-17 03:54:54,GW01,H02,2003,humidity,69.1915,20210917035454
2021-09-17 03:54:54,GW01,H02,2003,temp,24.60168,20210917035454
2021-09-17 03:55:17,GW01,H01,2000,humidity,81.81035,20210101000000
2021-09-17 03:58:34,GW01,H01,1100,co2,0,20210101000000
2021-09-17 03:58:34,GW01,H01,1100,nh3,0.016729,20210101000000
2021-09-17 03:58:52,GW01,H02,2001,temp,24.69827,20210101000000
2021-09-17 04:02:30,GW01,H01,1102,co2,541,20210916190028
2021-09-17 04:02:31,GW01,H01,2002,humidity,79.05691,20210917040229
2021-09-17 04:02:31,GW01,H01,2002,temp,24.30863,20210917040229
2021-09-17 04:02:52,GW01,H02,2001,humidity,78.10004,20210101000000
2021-09-17 04:02:30,GW01,H01,1102,nh3,1.072931,20210916190028
2021-09-17 04:05:17,GW01,H01,2000,humidity,81.91013,20210101000000
2021-09-17 04:04:54,GW01,H02,2003,temp,24.59999,20210917040454
2021-09-17 04:05:17,GW01,H01,2000,temp,24.19321,20210101000000
2021-09-17 04:04:54,GW01,H02,2003,humidity,69.34748,20210917040454
2021-09-17 04:08:35,GW01,H01,1100,nh3,0.015577,20210101000000
2021-09-17 04:08:35,GW01,H01,1100,co2,0,20210101000000
2021-09-17 04:08:52,GW01,H02,2001,temp,24.70689,20210101000000
2021-09-17 04:12:30,GW01,H01,1102,co2,547,20210916191029
2021-09-17 04:12:31,GW01,H01,2002,temp,24.33051,20210917041230
2021-09-17 04:12:30,GW01,H01,1102,nh3,1.093635,20210916191029
2021-09-17 04:12:31,GW01,H01,2002,humidity,78.96099,20210917041230
2021-09-17 04:12:52,GW01,H02,2001,humidity,78.21897,20210101000000
2021-09-17 04:15:17,GW01,H01,2000,humidity,81.98643,20210101000000
2021-09-17 04:15:17,GW01,H01,2000,temp,24.1966,20210101000000
2021-09-17 04:14:54,GW01,H02,2003,temp,24.59999,20210917041452
2021-09-17 04:14:54,GW01,H02,2003,humidity,69.30003,20210917041452
2021-09-17 04:18:52,GW01,H02,2001,temp,24.66723,20210101000000
2021-09-17 04:18:35,GW01,H01,1100,co2,0,20210101000000
2021-09-17 04:18:35,GW01,H01,1100,nh3,0.016617,20210101000000
2021-09-17 04:22:32,GW01,H01,1102,co2,550,20210916192030
2021-09-17 04:22:31,GW01,H01,2002,humidity,78.62885,20210917042230
2021-09-17 04:22:52,GW01,H02,2001,humidity,78.04482,20210101000000
2021-09-17 04:22:31,GW01,H01,2002,temp,24.39832,20210917042230
2021-09-17 04:22:32,GW01,H01,1102,nh3,1.068384,20210916192030
2021-09-17 04:25:17,GW01,H01,2000,temp,24.19999,20210101000000
2021-09-17 04:24:54,GW01,H02,2003,humidity,69.10519,20210917042452
2021-09-17 04:25:17,GW01,H01,2000,humidity,81.77287,20210101000000
2021-09-17 04:24:54,GW01,H02,2003,temp,24.59999,20210917042452
2021-09-17 04:28:36,GW01,H01,1100,co2,0,20210101000000
2021-09-17 04:28:36,GW01,H01,1100,nh3,0.017276,20210101000000
2021-09-17 04:28:52,GW01,H02,2001,temp,24.61033,20210101000000
2021-09-17 04:32:31,GW01,H01,2002,humidity,78.53053,20210917043230
2021-09-17 04:32:31,GW01,H01,2002,temp,24.37628,20210917043230
2021-09-17 04:32:52,GW01,H02,2001,humidity,77.9305,20210101000000
2021-09-17 04:32:33,GW01,H01,1102,nh3,1.075378,20210916193032
2021-09-17 04:32:33,GW01,H01,1102,co2,548,20210916193032
2021-09-17 04:35:17,GW01,H01,2000,temp,24.15516,20210101000000
2021-09-17 04:34:54,GW01,H02,2003,temp,24.59654,20210917043453
