org_file_name,db_weight_prediction_pixel_mean,jetson_weight_prediction_pixel_mean,delta,create_time
FA0002_GW01_H01_0001_20211125094605_farm_image_real_c7e47f7f4f48.jpg,7424.0,1176.0,6248.0,2021-11-25 09:46:05
FA0002_GW01_H02_0014_20211125094633_farm_image_real_c41f8fd84213.jpg,7175.0,1132.0,6043.0,2021-11-25 09:46:33
FA0002_GW01_H02_0015_20211125094633_farm_image_real_435de7b6431a.jpg,8955.0,1506.0,7449.0,2021-11-25 09:46:33
FA0002_GW01_H01_0002_20211125095235_farm_image_real_34a43ecc4f49.jpg,9258.0,1630.0,7628.0,2021-11-25 09:52:35
FA0002_GW01_H02_0010_20211125095236_farm_image_real_d59929954203.jpg,8156.0,1717.0,6439.0,2021-11-25 09:52:36
FA0002_GW01_H02_0012_20211125095238_farm_image_real_93b448204761.jpg,8072.0,1216.0,6856.0,2021-11-25 09:52:38
FA0002_GW01_H02_0013_20211125095241_farm_image_real_00058c3046c8.jpg,8326.0,1335.0,6991.0,2021-11-25 09:52:41
FA0002_GW01_H01_0001_20211125095608_farm_image_real_ca700afd44ea.jpg,7997.0,1387.0,6610.0,2021-11-25 09:56:08
FA0002_GW01_H02_0014_20211125095633_farm_image_real_394e425e4445.jpg,8736.0,1404.0,7332.0,2021-11-25 09:56:33
FA0002_GW01_H02_0015_20211125095639_farm_image_real_9a99a3a54e86.jpg,10022.0,1539.0,8483.0,2021-11-25 09:56:39
FA0002_GW01_H01_0002_20211125100239_farm_image_real_c72f4ab94bef.jpg,10118.0,1749.0,8369.0,2021-11-25 10:02:39
FA0002_GW01_H02_0010_20211125100241_farm_image_real_4f95db0045e6.jpg,9079.0,1445.0,7634.0,2021-11-25 10:02:41
FA0002_GW01_H02_0012_20211125100428_farm_image_real_578230924e34.jpg,9466.0,1488.0,7978.0,2021-11-25 10:04:28
FA0002_GW01_H02_0013_20211125100442_farm_image_real_eac456694562.jpg,9866.0,1562.0,8304.0,2021-11-25 10:04:42
FA0002_GW01_H01_0001_20211125100614_farm_image_real_9847d6184c52.jpg,9634.0,1458.0,8176.0,2021-11-25 10:06:14
FA0002_GW01_H02_0015_20211125100841_farm_image_real_c61afd5c48e3.jpg,8762.0,1473.0,7289.0,2021-11-25 10:08:41
FA0002_GW01_H02_0012_20211125101429_farm_image_real_87a5b0df4e30.jpg,6890.0,1229.0,5661.0,2021-11-25 10:14:29
FA0002_GW01_H01_0002_20211125101430_farm_image_real_3c6694ad4684.jpg,9548.0,1792.0,7756.0,2021-11-25 10:14:30
FA0002_GW01_H02_0010_20211125101436_farm_image_real_5eaa18824771.jpg,7675.0,1274.0,6401.0,2021-11-25 10:14:36
FA0002_GW01_H01_0001_20211125101639_farm_image_real_95f29dc947d0.jpg,9053.0,1680.0,7373.0,2021-11-25 10:16:39
FA0002_GW01_H02_0013_20211125101643_farm_image_real_f4f957f3437b.jpg,8940.0,1441.0,7499.0,2021-11-25 10:16:43
FA0002_GW01_H02_0014_20211125101839_farm_image_real_005099f848c9.jpg,10309.0,1750.0,8559.0,2021-11-25 10:18:39
FA0002_GW01_H02_0015_20211125102038_farm_image_real_17551a3f434a.jpg,9524.0,1443.0,8081.0,2021-11-25 10:20:38
FA0002_GW01_H01_0002_20211125102629_farm_image_real_e3a9b5ab46da.jpg,9848.0,1640.0,8208.0,2021-11-25 10:26:29
FA0002_GW01_H02_0010_20211125102634_farm_image_real_7c9460264585.jpg,8860.0,1332.0,7528.0,2021-11-25 10:26:34
FA0002_GW01_H01_0001_20211125102643_farm_image_real_c2c88d9c4ec4.jpg,9504.0,1518.0,7986.0,2021-11-25 10:26:43
FA0002_GW01_H02_0013_20211125102837_farm_image_real_191721f441c3.jpg,7964.0,1540.0,6424.0,2021-11-25 10:28:37
FA0002_GW01_H02_0014_20211125103038_farm_image_real_0e010aa84122.jpg,11049.0,1748.0,9301.0,2021-11-25 10:30:38
FA0002_GW01_H02_0015_20211125103040_farm_image_real_dd408b894634.jpg,8554.0,1366.0,7188.0,2021-11-25 10:30:40
