"create_time","farm_id","house_id","module_id","org_file_name","weight_prediction_count","weight_prediction_pixel_mean","weight_prediction_weight","weight_prediction_status"
"2021-11-23 11:22:34","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123112234_farm_image_real_088f983340c6.jpg",3,8248.0,1823.0,"success"
"2021-11-23 11:22:38","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123112238_farm_image_real_599153514c51.jpg",4,9902.0,2194.8,"success"
"2021-11-23 11:24:26","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123112426_farm_image_real_9dca00234a9f.jpg","","","","fail"
"2021-11-23 11:30:51","FA0002","H01","0007","FA0002_GW01_H01_0007_20211123113051_farm_image_real_17c704ee4cec.jpg","","","","fail"
"2021-11-23 11:32:04","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123113204_farm_image_real_c85b1cfc4e04.jpg",4,8729.0,1931.2,"success"
"2021-11-23 11:32:29","FA0002","H02","0012","FA0002_GW01_H02_0012_20211123113229_farm_image_real_d903f3dd4dac.jpg","","","","fail"
"2021-11-23 11:32:33","FA0002","H02","0014","FA0002_GW01_H02_0014_20211123113233_farm_image_real_dfe64adb4b95.jpg",3,9269.0,2052.5,"success"
"2021-11-23 11:32:35","FA0002","H02","0010","FA0002_GW01_H02_0010_20211123113235_farm_image_real_64ffbe834318.jpg","","","","fail"
"2021-11-23 11:32:37","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123113237_farm_image_real_032bdb9f47f3.jpg",1,10620.0,2356.3,"success"
"2021-11-23 11:32:40","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123113240_farm_image_real_eb365ab5438b.jpg",1,10314.0,2287.5,"success"
"2021-11-23 11:34:28","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123113428_farm_image_real_5d01c64547cf.jpg","","","","fail"
"2021-11-23 11:40:54","FA0002","H01","0007","FA0002_GW01_H01_0007_20211123114054_farm_image_real_e466bf294bcb.jpg","","","","fail"
"2021-11-23 11:42:11","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123114211_farm_image_real_ca308f3a4b9f.jpg",1,10736.0,2382.3,"success"
"2021-11-23 11:42:32","FA0002","H02","0012","FA0002_GW01_H02_0012_20211123114232_farm_image_real_5d69d55045c5.jpg",4,9945.0,2204.5,"success"
"2021-11-23 11:42:34","FA0002","H02","0014","FA0002_GW01_H02_0014_20211123114234_farm_image_real_aebda9474124.jpg",1,10683.0,2370.4,"success"
"2021-11-23 11:42:38","FA0002","H02","0010","FA0002_GW01_H02_0010_20211123114238_farm_image_real_e327b0e44fbb.jpg",4,9099.0,2014.3,"success"
"2021-11-23 11:42:41","FA0002","H02","0015","FA0002_GW01_H02_0015_20211123114241_farm_image_real_2e8a9e7f4853.jpg",1,8160.0,1803.2,"success"
"2021-11-23 11:42:42","FA0002","H02","0013","FA0002_GW01_H02_0013_20211123114242_farm_image_real_752796d84829.jpg","","","","fail"
"2021-11-23 11:44:28","FA0002","H01","0002","FA0002_GW01_H01_0002_20211123114428_farm_image_real_650fa0764a90.jpg","","","","fail"
"2021-11-23 11:52:12","FA0002","H01","0001","FA0002_GW01_H01_0001_20211123115212_farm_image_real_c805e8884a8a.jpg",3,9262.0,2051.0,"success"
"2021-11-23 11:52:46","FA0002","H02","0010","FA0002_GW01_H02_0010_20211123115246_farm_image_real_3092acc1473f.jpg",5,8345.0,1844.8,"success"
"2021-11-23 11:52:47","FA0002","H02","0014","FA0002_GW01_H02_0014_20211123115247_farm_image_real_f66d97c84701.jpg",1,10625.0,2357.4,"success"
"2021-11-23 11:52:51","FA0002","H01","0007","FA0002_GW01_H01_0007_20211123115251_farm_image_real_47dcb1f54831.jpg","","","","fail"
"2021-11-23 11:54:26","FA0002","H02","0012","FA0002_GW01_H02_0012_20211123115426_farm_image_real_63d899ae4b64.jpg","","","","fail"
