,CREATE_TIME,HOUSE_ID,MODULE_ID,WEIGHT_PREDICTION_WEIGHT,WEIGHT_PREDICTION_PIXEL_MEDIAN
104,2022-01-20 14:48:33,H03,"CT10,11",37.4,
105,2022-01-20 15:02:34,H02,"CT04,2",38.2,
106,2022-01-20 15:02:45,H02,"CT05,5",39.6,
107,2022-01-20 15:02:58,H02,"CT06,8",39.7,
108,2022-01-20 15:03:02,H03,"CT07,2",31.8,
109,2022-01-20 15:03:12,H03,"CT08,5",34.6,
110,2022-01-20 15:03:23,H03,"CT09,8",32.7,
111,2022-01-20 15:03:33,H03,"CT10,11",36.6,
112,2022-01-20 15:17:35,H02,"CT04,2",42.3,
113,2022-01-20 15:17:45,H02,"CT05,5",42.6,
114,2022-01-20 15:17:58,H02,"CT06,8",37.6,
115,2022-01-20 15:18:03,H03,"CT07,2",36.9,
116,2022-01-20 15:18:13,H03,"CT08,5",36.3,
117,2022-01-20 15:18:24,H03,"CT09,8",37.9,
118,2022-01-20 15:18:33,H03,"CT10,11",37.1,
119,2022-01-20 15:18:38,H01,"CT02,5",61.8,
120,2022-01-20 15:32:44,H02,"CT04,2",39.3,
121,2022-01-20 15:32:53,H02,"CT05,5",42.7,
122,2022-01-20 15:33:02,H03,"CT07,2",37.7,
123,2022-01-20 15:33:13,H03,"CT08,5",39.2,
124,2022-01-20 15:33:14,H02,"CT06,8",39.2,
125,2022-01-20 15:33:22,H03,"CT09,8",35.7,
126,2022-01-20 15:33:33,H03,"CT10,11",34.8,
127,2022-01-20 15:47:33,H02,"CT04,2",41.7,
128,2022-01-20 15:47:44,H02,"CT05,5",40.4,
129,2022-01-20 15:47:54,H02,"CT06,8",40.4,
130,2022-01-20 15:48:02,H03,"CT07,2",36.6,
131,2022-01-20 15:48:13,H03,"CT08,5",34.2,
132,2022-01-20 15:48:22,H03,"CT09,8",34.0,
133,2022-01-20 15:48:35,H03,"CT10,11",36.7,
134,2022-01-20 16:02:35,H02,"CT04,2",41.1,
135,2022-01-20 16:02:44,H02,"CT05,5",40.0,
136,2022-01-20 16:02:58,H02,"CT06,8",38.0,
137,2022-01-20 16:03:02,H03,"CT07,2",37.6,
138,2022-01-20 16:03:12,H03,"CT08,5",37.7,
139,2022-01-20 16:03:23,H03,"CT09,8",35.2,
140,2022-01-20 16:03:35,H03,"CT10,11",38.9,
141,2022-01-20 16:17:51,H02,"CT04,2",41.5,
142,2022-01-20 16:17:59,H02,"CT05,5",43.6,
143,2022-01-20 16:18:02,H03,"CT07,2",32.7,
144,2022-01-20 16:18:02,H02,"CT06,8",36.3,
145,2022-01-20 16:18:13,H03,"CT08,5",37.1,
