수집시간,수집장비ID,축사번호,모듈ID,센서타입,측정값,센서시간
2021-07-02 12:50:39,GW01,1,00000001,co2,401.91,20210702125038
2021-07-02 12:49:49,GW01,1,00000001,temp,27.29501,20210702124948
2021-07-02 12:49:49,GW01,1,00000001,humidity,74.21836,20210702124948
2021-07-02 12:48:39,GW01,1,00000001,nh3,3.22,20210702124838
2021-07-02 12:48:39,GW01,1,00000001,co2,402.03,20210702124838
2021-07-02 12:47:49,GW01,1,00000001,humidity,74.89162,20210702124748
2021-07-02 12:47:49,GW01,1,00000001,temp,27.28668,20210702124748
2021-07-02 12:46:39,GW01,1,00000001,co2,402.15,20210702124638
2021-07-02 12:46:39,GW01,1,00000001,nh3,3.39,20210702124638
2021-07-02 12:45:49,GW01,1,00000001,temp,27.215,20210702124547
2021-07-02 12:45:49,GW01,1,00000001,humidity,75.375,20210702124547
2021-07-02 12:44:40,GW01,1,00000001,nh3,3.54,20210702124438
2021-07-02 12:44:39,GW01,1,00000001,co2,402.26,20210702124438
2021-07-02 12:43:49,GW01,1,00000001,temp,27.20832,20210702124347
2021-07-02 12:43:49,GW01,1,00000001,humidity,74.91,20210702124347
2021-07-02 12:42:39,GW01,1,00000001,nh3,3.64,20210702124238
2021-07-02 12:42:39,GW01,1,00000001,co2,402.33,20210702124238
2021-07-02 12:41:49,GW01,1,00000001,temp,27.15516,20210702124147
2021-07-02 12:41:49,GW01,1,00000001,humidity,74.68967,20210702124147
2021-07-02 12:40:41,GW01,1,00000001,co2,402.45,20210702124038
2021-07-02 12:40:41,GW01,1,00000001,nh3,3.81,20210702124038
2021-07-02 12:39:52,GW01,1,00000001,humidity,74.56001,20210702123947
2021-07-02 12:39:52,GW01,1,00000001,temp,27.13332,20210702123947
2021-07-02 12:38:39,GW01,1,00000001,co2,402.61,20210702123838
2021-07-02 12:38:39,GW01,1,00000001,nh3,4.01,20210702123838
2021-07-02 12:37:49,GW01,1,00000001,humidity,74.53836,20210702123747
2021-07-02 12:37:49,GW01,1,00000001,temp,27.09832,20210702123747
2021-07-02 12:36:40,GW01,1,00000001,nh3,4.29,20210702123638
2021-07-02 12:36:40,GW01,1,00000001,co2,402.82,20210702123638
2021-07-02 12:35:49,GW01,1,00000001,humidity,74.58833,20210702123547
2021-07-02 12:35:49,GW01,1,00000001,temp,27.07832,20210702123547
2021-07-02 12:34:40,GW01,1,00000001,nh3,4.61,20210702123438
2021-07-02 12:34:40,GW01,1,00000001,co2,403.07,20210702123438
2021-07-02 12:33:49,GW01,1,00000001,temp,27.02333,20210702123347
2021-07-02 12:33:49,GW01,1,00000001,humidity,74.865,20210702123347
2021-07-02 12:32:40,GW01,1,00000001,nh3,5.09,20210702123238
2021-07-02 12:32:39,GW01,1,00000001,co2,403.45,20210702123238
2021-07-02 12:31:49,GW01,1,00000001,temp,26.99833,20210702123147
2021-07-02 12:31:49,GW01,1,00000001,humidity,74.88833,20210702123147
2021-07-02 12:30:39,GW01,1,00000001,co2,403.87,20210702123038
2021-07-02 12:30:39,GW01,1,00000001,nh3,5.61,20210702123038
2021-07-02 12:29:49,GW01,1,00000001,humidity,74.71331,20210702122947
2021-07-02 12:29:49,GW01,1,00000001,temp,26.95,20210702122947
2021-07-02 12:28:39,GW01,1,00000001,co2,404.32,20210702122838
2021-07-02 12:28:39,GW01,1,00000001,nh3,6.19,20210702122838
2021-07-02 12:27:49,GW01,1,00000001,humidity,74.89168,20210702122747
2021-07-02 12:27:49,GW01,1,00000001,temp,26.92835,20210702122747
2021-07-02 12:26:41,GW01,1,00000001,co2,405.15,20210702122638
2021-07-02 12:26:41,GW01,1,00000001,nh3,7.18,20210702122638
2021-07-02 12:25:49,GW01,1,00000001,humidity,75.60166,20210702122547
2021-07-02 12:25:49,GW01,1,00000001,temp,26.92834,20210702122547
2021-07-02 12:24:39,GW01,1,00000001,nh3,7.18,20210702122438
2021-07-02 12:24:39,GW01,1,00000001,co2,405.15,20210702122438
2021-07-02 12:23:49,GW01,1,00000001,temp,26.90168,20210702122347
2021-07-02 12:23:49,GW01,1,00000001,humidity,75.67498,20210702122347
2021-07-02 12:22:39,GW01,1,00000001,co2,404.90,20210702122237
2021-07-02 12:22:39,GW01,1,00000001,nh3,6.85,20210702122237
2021-07-02 12:21:49,GW01,1,00000001,humidity,75.71168,20210702122147
2021-07-02 12:21:49,GW01,1,00000001,temp,26.89668,20210702122147
2021-07-02 12:20:39,GW01,1,00000001,nh3,6.42,20210702122037
2021-07-02 12:20:39,GW01,1,00000001,co2,404.57,20210702122037
2021-07-02 12:19:49,GW01,1,00000001,humidity,75.51838,20210702121947
2021-07-02 12:19:49,GW01,1,00000001,temp,26.89668,20210702121947
2021-07-02 12:18:39,GW01,1,00000001,nh3,5.81,20210702121837
2021-07-02 12:18:39,GW01,1,00000001,co2,404.10,20210702121837
2021-07-02 12:17:49,GW01,1,00000001,temp,26.89668,20210702121747
2021-07-02 12:17:49,GW01,1,00000001,humidity,75.11169,20210702121747
2021-07-02 12:16:39,GW01,1,00000001,co2,403.57,20210702121637
2021-07-02 12:16:39,GW01,1,00000001,nh3,5.14,20210702121637
2021-07-02 12:15:49,GW01,1,00000001,humidity,74.5983,20210702121546
2021-07-02 12:15:49,GW01,1,00000001,temp,26.87168,20210702121546
2021-07-02 12:14:40,GW01,1,00000001,nh3,4.48,20210702121437
2021-07-02 12:14:39,GW01,1,00000001,co2,403.05,20210702121437
2021-07-02 12:13:49,GW01,1,00000001,humidity,74.12502,20210702121346
2021-07-02 12:13:49,GW01,1,00000001,temp,26.84668,20210702121346
2021-07-02 12:12:39,GW01,1,00000001,co2,402.14,20210702121237
2021-07-02 12:12:39,GW01,1,00000001,nh3,3.37,20210702121237
2021-07-02 12:11:49,GW01,1,00000001,temp,26.8729,20210702121146
2021-07-02 12:11:49,GW01,1,00000001,humidity,74.08132,20210702121146
2021-07-02 12:10:40,GW01,1,00000001,co2,401.99,20210702121039
2021-07-02 12:10:40,GW01,1,00000001,nh3,3.18,20210702121039
2021-07-02 12:09:49,GW01,1,00000001,humidity,74.28167,20210702120948
2021-07-02 12:09:49,GW01,1,00000001,temp,26.87168,20210702120948
2021-07-02 12:08:39,GW01,1,00000001,co2,402.00,20210702120839
2021-07-02 12:08:39,GW01,1,00000001,nh3,3.19,20210702120839
2021-07-02 12:07:49,GW01,1,00000001,humidity,74.22834,20210702120748
2021-07-02 12:07:49,GW01,1,00000001,temp,26.88668,20210702120748
2021-07-02 12:06:40,GW01,1,00000001,nh3,3.23,20210702120639
2021-07-02 12:06:40,GW01,1,00000001,co2,402.03,20210702120639
2021-07-02 12:05:49,GW01,1,00000001,temp,26.84335,20210702120548
2021-07-02 12:05:49,GW01,1,00000001,humidity,74.06167,20210702120548
2021-07-02 12:04:39,GW01,1,00000001,nh3,3.24,20210702120439
2021-07-02 12:04:39,GW01,1,00000001,co2,402.04,20210702120439
2021-07-02 12:03:49,GW01,1,00000001,temp,26.81501,20210702120348
2021-07-02 12:03:49,GW01,1,00000001,humidity,74.19666,20210702120348
